Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2019-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,940351000
2019-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,14049452000
2019-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2019-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,3035976000
2019-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,
2019-03-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,
2018-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,714380000
2018-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,6261407000
2018-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,305961000
2018-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,3677113000
2018-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,4491036000
2018-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1078413000
2018-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2524344000
2018-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1260037000
2018-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,6784115000
2018-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1171843000
2018-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,36948000
2018-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,20975002000
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,742324000
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,4214304000
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1305780000
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,7511038000
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,23727592000
2018-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2018-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,4182983000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5768585000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,7370798000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,21944297000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,4074943000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2790215000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,689947000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,374996000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,1295147000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,62175000
2018-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,5840695000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1480426000
2018-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1325875000
2018-03-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1070251000
2018-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,471288000
